"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Industries","","Bangladesh Sugar and Food Industries Corporation (BSFIC)","Carew and Company (Bangladesh) Ltd.-Commercial Department.","","Chuadanga","Goods","NCT","TENDER","Tender - Single Lot","Carew/com/G-7/2026-27/09","225429","1319905","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","Carew/Com/APP/2026-27/56 Procurement of Mitsubishi Jeep 4DR5 and Mahindra pickup bolero Model Spare Parts","Passenger cars; Motor vehicles;","25-Aug-2026 12:00","06-Sep-2026 17:00","1. Tenderer shall have i) Valid & updated trade license. ii) Valid & updated income tax & TIN certificate iii) Valid VAT/BIN registration certificate 2. The tenderer shall have a minimum of 02 (Two) years general experience in the supply of Transport Spare Parts/Similar Goods and Related Service .3. The tenderer shall have specific experience of satisfactory completion of Transport Spare Parts/similar Goods and Related Service of minimum Tk.1.00 Lac under single contract within last 02 (Two) years (years counting backward from the date of publication of IFT in the newspaper/e-GP System) in any Government/Semi-Government/Autonomous/Multinational/Non-Government organization.","Procurement of Mitsubishi Jeep 4DR5 and Mahindra pickup bolero Model Spare Parts","Lot wise","Package wise","Package wise","500","Payment through Bank","04-Mar-2027","04-Mar-2027","1","Procurement of Mitsubishi Jeep 4DR5 and Mahindra pickup bolero Model Spare Parts","Carew and co, Darsona, Chuadanga","7000","15-Sep-2026","29-Oct-2026","MD. BODROL ALAM","Manager (Commercial) -Carew and Company (Bangladesh) Ltd","Address : Carew and Company (Bangladesh) Ltd. 
Post office- Darsana, 
District-Chuadanga, Bangladesh City : Darsona Thana : Damurhuda District : Chuadanga - 7221 Country : Bangladesh","","Darsona","Damurhuda","Chuadanga - 7221","77-791017","","280000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1319905"
"Ministry of Industries","","Bangladesh Sugar and Food Industries Corporation (BSFIC)","Zeal Bangla Sugar Mills Ltd.-Commercial Department.","","Jamalpur","Goods","NCT","TENDER","Tender - Single Lot","ZBSM/COM/PRINTING-1/2026-2027","224659","1322477","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","ZBSM/COM/PRINTING-1/2026-2027 Procurement of Printing Material for all Department.","Printing, publishing and related services; Printing services; Printing services for books; Printing services for stationery; Printing services for security printed matter; Printing services for forms; Printing services for tickets; Printing services for calendars; Printing services for timetables; Newspaper printing services; Printing services for posters; Services related to printing; Publishing services; Subscription services;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Bookbinding and finishing services","25-Aug-2026 14:00","08-Sep-2026 17:00","As per tender document.","Procurement of Printing Material for all Department.","Lot wise","Package wise","Package wise","500","Payment through Bank","04-Feb-2027","04-Feb-2027","Single","Procurement of Printing Material for all Department.","Zeal Bangla sugar mills ltd, Dewanganj, Jamalpur","25000","15-Sep-2026","15-Oct-2026","ATAUR RAHMAN","Manager (Commercial)-Zeal Bangla Sugar Mills Ltd.","Address : Post : D.S Mills-2031, Upazilla- Dewanganj, District-Jamalpur. City : Dewanganj Thana : Dewanganj District : Jamalpur - 2031 Country : Bangladesh","Post : D.S Mills-2031, Upazilla- Dewanganj, District-Jamalpur.","Dewanganj","Dewanganj","Jamalpur - 2031","09-82375008","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322477"
"Ministry of Education","Secondary and Higher Education Division","National Curriculum and textbook Board (NCTB)","Member (Textbook), NCTB","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","37.06.0000.07.304.003.26/1868","225442","1323112","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","2027.GD.PRI.1_5.318 For Printing (With Paper), Binding and Supplying of textbooks of Classes One, Two, Three, Four and Five (Primary Level) to be distributed free of cost for the Academic Year 2027","Various types of printed matter and articles for printing; Printing, publishing and related services;Printed books, brochures and leaflets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers, journals, periodicals and magazines;Newspapers;Postcards, greeting cards and other printed matter;Postcards;Greeting cards;Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Printing plates or cylinders or other media for use in printing;Offset plates;Dry-etching equipment;Paper or paperboard registers, account books, binders, forms and other articles of printed stationery;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Miscellaneous printed matter;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services","25-Aug-2026 15:00","07-Sep-2026 16:00","As Per TDS","For Printing (With Paper), Binding and Supplying of textbooks of Classes One, Two, Three, Four and Five (Primary Level) to be distributed free of cost for the Academic Year 2027","Lot wise","Package wise","Package wise","4000","Payment through Bank","05-Mar-2027","05-Mar-2027","318","For Printing (With Paper), Binding and Supplying of textbooks of Classes One, Two, Three, Four and Five (Primary Level) to be distributed free of cost for the Academic Year 2027","As Per Delevery Schedule","1126000","06-Oct-2026","26-Nov-2026","Mohammad Abu Nasher Tuku","Member (Textbook)","Address :  69-70, Motijheel, C/A, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","69-70, Motijheel, C/A, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9550805","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323112"
"Ministry of Disaster Management & Relief","","Department of Disaster Management","Department of Disaster Management","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","51.01.0000.000.016.07.0007.26.343","227284","1322974","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","DDM/Relief Blanket/2026-27/Dhaka-01 Supply of Blanket for DDM.","Textiles and textile articles; Clothing and accessories;Textile fabrics and related items;Woven fabrics;Woollen fabrics;Linen fabrics;Special fabrics;Knitted or crocheted fabrics;Cloth;Non-woven fabrics;Textile articles;Textile household articles;Made-up textile articles;Carpets, mats and rugs;Miscellaneous cordage, rope, twine and netting;Non-woven articles;Miscellaneous textile articles;Knitwear, hosiery and related articles;Textile yarn and thread;Natural textile fibres;Artificial textile fibres;Textile yarn and thread of natural fibres;Synthetic yarn or thread;Textile waste;Occupational clothing, special workwear and accessories;Occupational clothing;Special workwear;Workwear accessories;Outerwear;Coats;Weatherproof clothing;Miscellaneous outerwear;Garments;Underwear;Shirts and nightwear;T-shirts;Special clothing and accessories;Special clothing;Clothing accessories;Hats and headgear;Fasteners;Leather clothes;Leather clothing accessories;Furs and articles of fur;Fur articles;Furs;Second-hand clothing","25-Aug-2026 15:00","16-Sep-2026 15:00","As Per TDS","Supply of Blanket","Lot wise","Package wise","Package wise","5000","Payment through Bank","14-Mar-2027","14-Mar-2027","01","Supply of Blanket for DDM.","CSD Relief Godown, Tejgoan, Dhaka","2850000","22-Oct-2026","22-Nov-2026","Md. Rasel Sabrin","Director (Relief)","Address : Disaster Management Bhaban, 92-93 Mohakhali C/A, Dhaka-1212. City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1212 Country : Bangladesh","Disaster Management Bhaban, 92-93 Mohakhali C/A, Dhaka-1212.","Dhaka","Dhaka North City Corporation","Dhaka - 1212","02-9860386","02-9885816","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322974"
"Ministry of Road Transport and Bridges","Birdges Division","Bangladesh Bridge Authority","Office of the Chief Engineer","","Dhaka","Goods (Framework Agreement)","NCT","TENDER","Tender - Single Lot","50.01.0000.000.103.07.0001.24-01","227642","1318589","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","50.01.0000.000.103.07.0001.24-02 Supply of Electric and Computer Items for the fiscal year 2026-2027 for Bangladesh Bridge Authority","Office and computing machinery, equipment and supplies; Office machinery, equipment and supplies except computers; Computer equipment and supplies;Word-processing machines;Photocopying and printing equipment;Post-office equipment;Calculating and accounting machines;Typewriters;Parts and accessories of typewriters and calculating machines;Various office equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers","25-Aug-2026 12:00","06-Sep-2026 11:00","The minimum specific experience as Supplier in supply of similar Goods for at least 1(one) contract within last 5 (Five) years with value Tk: 8 (Eight Lac).","Supply of Electric and Computer Items for the fiscal year 2026-2027 for Bangladesh Bridge Authority","Lot wise","Package wise","Package wise","1000","Payment through Bank","01-Feb-2027","01-Feb-2027","01","Supply of Electric and Computer Items for the fiscal year 2026-2027 for Bangladesh Bridge Authority","Setu Bhaban, Banani, Dhaka-1212","35000","01-Oct-2026","30-Sep-2027","Abu Humayan Md. Shakhawat Aktar","Chief Engineer","Address : Setu Bhaban, Banani, Dhaka-1212. City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 6200 Country : Bangladesh","Setu Bhaban, Banani, Dhaka-1212.","Dhaka","Dhaka North City Corporation","Dhaka - 6200","02-55040313","","1400000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318589"
"Ministry of Shipping","","Chittagong Port Authority","Plant Manager","","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","18.13.0000.382.07.084.25","215899","1286714","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","18.13.0000.382.07.084.25 APP ABB2 Procurement of 30 items spare parts for 45 Ton Reach Stacker & 04 High Straddle Carriers of Zonal Workshop-AB.","Motor vehicles; Motor vehicles, trailers and vehicle parts; Vehicle bodies, trailers or semi-trailers;Passenger cars;Motor vehicles for the transport of 10 or more persons;Motor vehicles for the transport of goods;Heavy-duty motor vehicles;Vehicle bodies;Trailers, semi-trailers and mobile containers","25-Aug-2026 12:30","08-Sep-2026 17:00","Any firm that has valid trade license, VAT registration, TIN Certificate including other documents stated in tender document.","Procurement of 30 items spare parts for 45 Ton Reach Stacker & 04 High Straddle Carriers of Zonal Workshop-AB.","Lot wise","Package wise","Package wise","2500","Payment through Bank","04-Feb-2027","04-Feb-2027","1","Procurement of 30 items spare parts for 45 Ton Reach Stacker & 04 High Straddle Carriers of Zonal Workshop-AB.","Zonal Workshop-AB","150000","24-Sep-2026","24-Jan-2027","Md. Mustafa Iqbal","Plant Manager","Address : Zonal Workshop D, Bandar City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4100 Country : Bangladesh","Zonal Workshop D, Bandar","Chittagong","Chattogram City Corporation","Chattogram - 4100","031-2510897","031-2510889","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1286714"
"Ministry of Housing and Public Works","","Cox's Bazar Development Authority","Cox's Bazar Development Authority","","Cox's Bazar","Goods","NCT","TENDER","Tender - Single Lot","CoxDA/Rev/2026-27/Cleaning Items","228315","1323318","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","CoxDA/Rev/2026-27/Cleaning Items Supply of Cleaning Materials and Related Cleaning Equipment for Coxs Bazar Development Authority, FY 2026-27","Chemicals, chemical products and man-made fibres;Chemicals;Gases;Dyes and pigments;Basic inorganic chemicals;Basic organic chemicals;Fertilisers and nitrogen compounds;Plastics in primary forms;Synthetic rubber;Enzymes;Agro-chemical products;Pesticides;Insecticides;Herbicides;Plant-growth regulators;Disinfectants;Rodenticides;Fungicides;Paints, varnishes, printing ink and mastics;Paints;Varnishes;Ink;Mastics, fillers, putty;Solvents;Medicinal products;Medicinal products for the alimentary tract and metabolism;Medicinal products for the blood, blood-forming organs and the cardiovascular system;Medicinal products for dermatology and the musculo-skeletal system;Medicinal products for the genitourinary system and hormones;General anti-infectives for systemic use, vaccines, antineoplastic and immunodulating agents;Medicinal products for the nervous system and sensory organs;Medicinal products for the respiratory system;Various medicinal products;Glycerol, soaps, detergents, cleaning and polishing preparations, perfumes and toilet preparations;Glycerol;Perfumes and toiletries;Explosives and fine chemical products;Prepared explosives;Glues;Essential oils;Photographic chemicals;Unrecorded media;Specialised chemical products;Man-made fibres;Synthetic fibres;Artificial fibres;Various chemical products;Radiator fluids;Water-treatment chemicals;Anti-corrosion products","25-Aug-2026 13:00","06-Sep-2026 14:00","as per TDS","Supply of Cleaning Materials and Related Cleaning Equipment for Coxs Bazar Development Authority, FY 2026-27","Lot wise","Package wise","Package wise","1000","Payment through Bank","03-Dec-2026","03-Dec-2026","1","Supply of Cleaning Materials and Related Cleaning Equipment for Coxs Bazar Development Authority, FY 2026-27","Coxs Bazar","40000","01-Oct-2026","30-Jun-2027","Abu Nayeem Md.Talat","Member (Engineer)","Address : CoxDA Bhaban, Circuit House Road, Cox's Bazar. City : Cox's Bazar Thana : Cox'S Bazar Sadar District : Cox's Bazar - 4700 Country : Bangladesh","CoxDA Bhaban, Circuit House Road, Cox's Bazar.","Cox's Bazar","Cox'S Bazar Sadar","Cox's Bazar - 4700","02-334462520","02-334462522","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323318"
"Ministry of Energy","Power and Mineral Resources","Power Grid Bangladesh PLC","Grid Maintenance Division, Dhaka South","009","Dhaka","Works","NCT","TENDER","Tender - Single Lot","GMDDS:2026-2027/03","230964","1322868","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","GMDDS:2026-2027/03 Cleaning & Sweeping Works and Cutting Jungles & Shrub on Annual Basis at Sreenagar 132/33kV Grid Sub-Station Under GMD Dhaka-South.","Repair and maintenance services of building installations; Repair, maintenance and installation services;Repair and maintenance services of electrical and mechanical building installations;Repair and maintenance services of central heating;Repair and maintenance services of cooler groups;Repair and maintenance services of escalators;Lift-maintenance services","25-Aug-2026 12:30","10-Sep-2026 12:27","Each tenderer must have the following basic requirements: Possess a valid Trade License . Provide proof of Tax payment for the last assessment year . Hold a VAT Registration Certificate . Comply with all other criteria specified in the Tender Data Sheet .","Cleaning & Sweeping Works and Cutting Jungles & Shrub on Annual Basis at Sreenagar 132/33kV Grid Sub-Station Under GMD Dhaka-South.","Lot wise","Package wise","Package wise","500","Payment through Bank","06-Jan-2027","06-Jan-2027","1","Cleaning & Sweeping Works and Cutting Jungles & Shrub on Annual Basis at Sreenagar 132/33kV Grid Sub-Station Under GMD Dhaka-South.","Sreenagar 132kV Grid Substation, Sreenagar, Munshiganj","15000","01-Oct-2026","30-Sep-2027","MD. MUSTAFIZUR RAHMAN","Executive Engineer","Address : D-2, Chandramallika Bhaban (Ground Floor),
Hasnabad 230/132/33kV Grid Substation,
Hasnabad City : Dhaka Thana : Keraniganj District : Dhaka - 1311 Country : Bangladesh","","Dhaka","Keraniganj","Dhaka - 1311","02-9568928","02-9568928","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322868"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Chapainawabganj 250 bed District Hospital","","Chapai Nawabganj","Goods","NCT","TENDER","Tender - Single Lot","Sup/ZHC/Acc/e-Tender/2026-27/1599","228768","1317962","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","Sup/ZHC/Acc/MSR/2026-27/GR-3 Procurement of Linen for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","25-Aug-2026 12:00","08-Sep-2026 11:00","As Per TDS & PCC","Procurement of Linen for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Lot wise","Package wise","Package wise","1500","Payment through Bank","03-Feb-2027","03-Feb-2027","Single Lot","Procurement of Linen for the F.Y 2026-2027 at
Chapainawabganj 250 Bed District Hospital,
Chapainawabganj.","Chapainawabganj 250 Bed District Hospital, Chapainawabganj","90000","01-Oct-2026","15-Nov-2026","Jamir Md. Hasibus Sattar","Superintendent","Address : Hospital Road, Chapai Nawabganj-6300 City : Chapainawabganj Thana : Chapainawabganj Sadar District : Chapai Nawabganj - 6300 Country : Bangladesh","Hospital Road, Chapai Nawabganj-6300","Chapainawabganj","Chapainawabganj Sadar","Chapai Nawabganj - 6300","0781-52489","","4398000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1317962"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Ferry Construction Division, Dhaka","eefeddha","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","Memo No:35.01.0000.157.07.001.26-153, Date:16.8.26","228214","1321662","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","08/egp/FCD/2026-27 Supplying of spare parts with necessary repair works for 375 HP MAN Engine Propulsion & Gear Box (Right side, Model-D-2676 LE 441) of Utility type-01-074/2020 Ferry at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year 2026-2027.","Repair, maintenance and associated services related to marine and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","25-Aug-2026 12:00","09-Sep-2026 16:00","All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document (TDS & PCC).","Supplying of spare parts with necessary repair works for 375 HP MAN Engine Propulsion & Gear Box (Right side, Model-D-2676 LE 441) of Utility type-01-074/2020 Ferry at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year 2026-2027.","Lot wise","Package wise","Package wise","1000","Payment through Bank","06-Jan-2027","06-Jan-2027","01","Supplying of spare parts with necessary repair works for 375 HP MAN Engine Propulsion & Gear Box (Right side, Model-D-2676 LE 441) of Utility type-01-074/2020 Ferry at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year 2026-2027.","Ferry Sub-Division, Faridpur","25000","20-Sep-2026","11-Oct-2026","Md. Azam Shaikh","Executive Engineer","Address : Ferry Construction Division, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1208 Country : Bangladesh","Ferry Construction Division, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1208","02-8879377","02-8879377","1050000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321662"
"Ministry of Shipping","","Chittagong Port Authority","Plant Manager","","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","18.13.0000.382.07.018.25","215899","1266965","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","18.13.0000.382.07.018.25_APP_ABB1 Procurement of 03 items spare parts for all kinds of 04 High Straddle Carriers of Zonal Workshop-AB.","Motor vehicles; Motor vehicles, trailers and vehicle parts; Vehicle bodies, trailers or semi-trailers;Passenger cars;Motor vehicles for the transport of 10 or more persons;Motor vehicles for the transport of goods;Heavy-duty motor vehicles;Vehicle bodies;Trailers, semi-trailers and mobile containers","25-Aug-2026 12:30","08-Sep-2026 17:00","Any firm that has valid trade license, VAT registration, TIN Certificate including other documents stated in tender document.","Procurement of 03 items spare parts for all kinds of 04 High Straddle Carriers of Zonal Workshop-AB.","Lot wise","Package wise","Package wise","2500","Payment through Bank","04-Feb-2027","04-Feb-2027","1","Procurement of 03 items spare parts for all kinds of 04 High Straddle Carriers of Zonal Workshop-AB.","Zonal Workshop-AB","165000","24-Sep-2026","24-Jan-2027","Md. Mustafa Iqbal","Plant Manager","Address : Zonal Workshop D, Bandar City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4100 Country : Bangladesh","Zonal Workshop D, Bandar","Chittagong","Chattogram City Corporation","Chattogram - 4100","031-2510897","031-2510889","6835000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1266965"
"Ministry of Industries","","Bangladesh Sugar and Food Industries Corporation (BSFIC)","Carew and Company (Bangladesh) Ltd.-Commercial Department.","","Chuadanga","Goods","NCT","TENDER","Tender - Single Lot","Carew/com/G-7/2026-27/09","225429","1321300","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","Carew/Com/APP/2026-27/65 Procurement of Stationery goods for Sugar factory Mechanical section and Bio-Fertilizer Unit","Various office equipment and supplies; Office machinery, equipment and supplies except computers;","25-Aug-2026 12:00","06-Sep-2026 17:00","1. Tenderer shall have i) Valid & updated trade license. ii) Valid & updated income tax & TIN certificate iii) Valid VAT/BIN registration certificate 2. The tenderer shall have a minimum of 02 (Two) years general experience in the supply of Stationery goods /Similar Goods and Related Service .3. The tenderer shall have specific experience of satisfactory completion of Stationery goods/Similar Goods and Related Service of minimum Tk.2.00 Lac under single contract within last 02 (Two) years (years counting backward from the date of publication of IFT in the newspaper/e-GP System) in any Government/Semi-Government/Autonomous/Multinational/Non-Government organization.","Procurement of Stationery goods for Sugar factory Mechanical section and Bio-Fertilizer Unit","Lot wise","Package wise","Package wise","500","Payment through Bank","04-Mar-2027","04-Mar-2027","1","Procurement of Stationery goods for Sugar factory Mechanical section and Bio-Fertilizer Unit","Carew and co, Darsona, Chuadanga","12000","15-Sep-2026","15-Oct-2026","MD. BODROL ALAM","Manager (Commercial) -Carew and Company (Bangladesh) Ltd","Address : Carew and Company (Bangladesh) Ltd. 
Post office- Darsana, 
District-Chuadanga, Bangladesh City : Darsona Thana : Damurhuda District : Chuadanga - 7221 Country : Bangladesh","","Darsona","Damurhuda","Chuadanga - 7221","77-791017","","410000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321300"
"Ministry of Disaster Management & Relief","","Department of Disaster Management","Department of Disaster Management","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","51.01.0000.000.016.07.0007.26.343","227284","1322979","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","DDM/Relief Blanket/2026-27/North Bangal2-05 Supply of Blanket for DDM.","Textiles and textile articles; Clothing and accessories;Textile fabrics and related items;Woven fabrics;Woollen fabrics;Linen fabrics;Special fabrics;Knitted or crocheted fabrics;Cloth;Non-woven fabrics;Textile articles;Textile household articles;Made-up textile articles;Carpets, mats and rugs;Miscellaneous cordage, rope, twine and netting;Non-woven articles;Miscellaneous textile articles;Knitwear, hosiery and related articles;Textile yarn and thread;Natural textile fibres;Artificial textile fibres;Textile yarn and thread of natural fibres;Synthetic yarn or thread;Textile waste;Occupational clothing, special workwear and accessories;Occupational clothing;Special workwear;Workwear accessories;Outerwear;Coats;Weatherproof clothing;Miscellaneous outerwear;Garments;Underwear;Shirts and nightwear;T-shirts;Special clothing and accessories;Special clothing;Clothing accessories;Hats and headgear;Fasteners;Leather clothes;Leather clothing accessories;Furs and articles of fur;Fur articles;Furs;Second-hand clothing","25-Aug-2026 15:00","16-Sep-2026 15:00","As Per TDS","Supply Of Blanket","Lot wise","Package wise","Package wise","5000","Payment through Bank","14-Mar-2027","14-Mar-2027","01","Supply of Blanket for DDM.","District Relief Godown, Rangpur, Kurigram, Dinajpur and Panchagar","2000000","22-Oct-2026","22-Nov-2026","Md. Rasel Sabrin","Director (Relief)","Address : Disaster Management Bhaban, 92-93 Mohakhali C/A, Dhaka-1212. City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1212 Country : Bangladesh","Disaster Management Bhaban, 92-93 Mohakhali C/A, Dhaka-1212.","Dhaka","Dhaka North City Corporation","Dhaka - 1212","02-9860386","02-9885816","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322979"
"Ministry of Home Affairs","","Bangladesh Police","Equipment Section, Police Headquarters, Dhaka","00004","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","44.01.0000.453.07.082.26/04","229147","1321950","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","2026-27_FPU_67 Body Worn Camera with Accessories","Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables;Furniture;Seats, chairs and associated parts;Non-domestic furniture;Domestic furniture;Miscellaneous furniture and equipment;School furniture;Jewellery and related articles;Coins and medals;Articles of jewellery;Musical instruments and parts;Musical instruments;Parts and accessories of musical instruments;Sports goods and equipment;Outdoor sports equipment;Gymnasium equipment;Games and toys; fairground amusements;Dolls;Toys;Articles for funfair, table or parlour games;Miscellaneous manufactured and other goods;Laundry supplies;School slates or boards with writing or drawing surfaces;Artificial products;Apparatus and equipment designed for demonstrational purposes;Umbrellas and sunshades; walking sticks and seat sticks;Funeral supplies;Kitchen equipment, household items and catering supplies;Barracks supplies;Consumables and consumer goods;Consumables;Tax-free goods;Disposable goods;Handicraft and art supplies;Handicraft supplies;Art supplies;Special-purpose product;Police equipment;Recycled products;Security devices;Animal ear tags;Compost boxes;Tokens;Spray booths;Snow poles","25-Aug-2026 12:00","09-Sep-2026 10:00","1. Up to date Trade License 2. Current Income Tax Certificate 3. VAT Registration and 4. Other requirements described in the STD (e-PG-3)","Body Worn Camera with Accessories","Lot wise","Package wise","Package wise","2500","Payment through Bank","06-Mar-2027","06-Mar-2027","67","Body Worn Camera with Accessories","UN Log Base-2, Purbachal, Dhaka","500000","30-Sep-2026","29-Oct-2026","A H M Yeadul Islam","AIG","Address : Bangladesh Police, Police Headquarters, 6, Phoenix Road, Fulbaria, Dhaka-1000 City : Fulbaria, Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","Bangladesh Police, Police Headquarters, 6, Phoenix Road, Fulbaria, Dhaka-1000","Fulbaria, Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9585304","02-9563362","20000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321950"
