Ministry,Division,Organization,Procuring Entity Name,Procuring Entity Code,Procuring Entity District,Procurement Nature,Procurement Type,Event Type,Invitation for ,Invitation Reference No.,App ID,Tender/Proposal ID,Procurement Method ,Budget Type,Source of Funds,Project Code,Project Name,Tender/Proposal Package No. and Description,Category,Scheduled Tender/Proposal Publication Date and Time,Tender/Proposal Document last selling / downloading Date and Time,Eligibility of Tenderer,Brief Description of Works,Evaluation Type,Document Available,Document Fees,Tender/Proposal Document Price (In BDT) ,Mode of Payment,Tender/Proposal Security Valid Up to,Tender/Proposal Valid Up to,Lot No.,Identification of Lot,Location,Tender/Proposal security(Amount in BDT),Tentative Start Date,Tentative Completion Date,Name of Official Inviting Tender/Proposal,Designation of Official Inviting Tender/Proposal,Address of Official Inviting Tender/Proposal,Address,City,Thana,District,Phone No,Estimated Cost,Tender Link
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"Sulla Upazila Health Complex , Sunamganj",,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,UHC/Sulla/Sunam/Tender/2026-2027/120,228707,1313014,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,UHC/Sulla/Sunam/App 2026-27/MSR-04 Procurement of Linen for the Fiscal year 2026-2027,"Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services",02-Aug-2026 10:00,11-Aug-2026 15:00,TDS & PCC,Procurement of Linen for the Fiscal year 2026-2027,Lot wise,Package wise,Package wise,500,Payment through Bank,07-Jan-2027,07-Jan-2027,Single Lot,Procurement of Linen for the Fiscal year 2026-2027,"Sulla Upazila Health Complex , Sunamganj",12500,13-Aug-2026,12-Nov-2026,DEBOBRATA AICH MAJUMDER,UH&FPO,"Address : Sulla Upazila Health Complex , Sunamganj City : Sulla Thana : Sulla District : Sunamganj - 3050 Country : Bangladesh","Sulla Upazila Health Complex , Sunamganj",Sulla,Sulla,Sunamganj - 3050,0170-1248770,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313014
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"Sulla Upazila Health Complex , Sunamganj",,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,UHC/Sulla/Sunam/Tender/2026-2027/120,228707,1313017,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,UHC/Sulla/Sunam/App 2026-27/Diet Procurement of Diet for the Fiscal year 2026-2027,"Food products and beverages; Hotel and restaurant services;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages;Hotel services;Camping sites and other non-hotel accommodation;Youth hostel services;Camping-site services;Holiday centre and holiday home services;Letting services of short-stay furnished accommodation;Sleeping-car services;Services provided by bed and breakfast establishments;Restaurant and food-serving services;Restaurant waiter services;Meal-serving services;Cafeteria services;Beverage-serving services;Bar management services;Canteen and catering services;Canteen services;Catering services",02-Aug-2026 10:00,11-Aug-2026 15:00,TDS & PCC,Procurement of Diet for the Fiscal year 2026-2027,Lot wise,Package wise,Package wise,1000,Payment through Bank,07-Jan-2027,07-Jan-2027,Single Lot,Procurement of Diet for the Fiscal year 2026-2027,Procurement of Diet for the Fiscal year 2026-2027,50000,13-Aug-2026,12-Nov-2026,DEBOBRATA AICH MAJUMDER,UH&FPO,"Address : Sulla Upazila Health Complex , Sunamganj City : Sulla Thana : Sulla District : Sunamganj - 3050 Country : Bangladesh","Sulla Upazila Health Complex , Sunamganj",Sulla,Sulla,Sunamganj - 3050,0170-1248770,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313017
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"Sulla Upazila Health Complex , Sunamganj",,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,UHC/Sulla/Sunam/Tender/2026-2027/120,228707,1313020,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,UHC/Sulla/Sunam/App 2026-27/Others Procurement of Others Stationery for the Fiscal year 2026-2027,"Various types of pulp, paper and paper products; Various types of printed matter and articles for printing; Machinery, equipment, appliances, apparatus and associated products; Printing, publishing and related services;Pulp, paper and paperboard;Pulp;Paper and paperboard;Paper or paperboard articles;Corrugated paper or paperboard;Household and hospital paper articles;Paper stationery and other items;Wallpaper and other coverings;Cigarette paper and filter paper;Printed books, brochures and leaflets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers, journals, periodicals and magazines;Newspapers;Postcards, greeting cards and other printed matter;Postcards;Greeting cards;Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Printing plates or cylinders or other media for use in printing;Offset plates;Dry-etching equipment;Paper or paperboard registers, account books, binders, forms and other articles of printed stationery;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Miscellaneous printed matter;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services",02-Aug-2026 10:00,11-Aug-2026 15:00,TDS & PCC,Procurement of Others Stationery for the Fiscal year 2026-2027,Lot wise,Package wise,Package wise,500,Payment through Bank,07-Jan-2027,07-Jan-2027,Single Lot,Procurement of Others Stationery for the Fiscal year 2026-2027,"Sulla Upazila Health Complex, Sunamganj",8000,13-Aug-2026,12-Nov-2026,DEBOBRATA AICH MAJUMDER,UH&FPO,"Address : Sulla Upazila Health Complex , Sunamganj City : Sulla Thana : Sulla District : Sunamganj - 3050 Country : Bangladesh","Sulla Upazila Health Complex , Sunamganj",Sulla,Sulla,Sunamganj - 3050,0170-1248770,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313020
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"Sulla Upazila Health Complex , Sunamganj",,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,UHC/Sulla/Sunam/Tender/2026-2027/120,228707,1313019,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,UHC/Sulla/Sunam/App 2026-27/Washing Procurement of Washing Linen Item for the Fiscal year 2026-2027,Miscellaneous services;Washing and dry-cleaning services;Laundry-collection services;Textile-cleaning services;Fur-products cleaning services;Colouring services;Pressing services;Dyeing services;Hairdressing and beauty treatment services;Hairdressing services;Beauty treatment services;Physical well-being services;Turkish bath services;Spa services;Massage services;Accommodation and office services;Accommodation services;Civic-amenity services;Car-park management services;Marine services;Aquatic marine services;Port management services;Diving services;Funeral and related services;Funeral services;Miscellaneous services n.e.c.;Decommissioning services;Relocation services;Tailoring services;Upholstering services;Locksmith services;Clearing and Forwarding Agent;Service Provider (Others),02-Aug-2026 10:00,11-Aug-2026 15:00,TDS & PCC,Procurement of Washing Linen Item for the Fiscal year 2026-2027,Lot wise,Package wise,Package wise,500,Payment through Bank,07-Jan-2027,07-Jan-2027,Single Lot,Procurement of Washing Linen Item for the Fiscal year 2026-2027,"Sulla Upazila Health Complex, Sunamganj",10000,13-Aug-2026,12-Nov-2026,DEBOBRATA AICH MAJUMDER,UH&FPO,"Address : Sulla Upazila Health Complex , Sunamganj City : Sulla Thana : Sulla District : Sunamganj - 3050 Country : Bangladesh","Sulla Upazila Health Complex , Sunamganj",Sulla,Sulla,Sunamganj - 3050,0170-1248770,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313019
Ministry of Home Affairs,,Bangladesh Police,"Rajshahi Metropolitan Police, Rajshahi",23,Rajshahi,Goods (Framework Agreement),NCT,TENDER,Tender - Single Lot,44.01.0000.988.07.003.26.19,225342,1312976,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"44.01.0000.988.07.003.26.19 Supply of other machinery, equipment, and firefighting equipment for Rajshahi Metropolitan Police.","Cooling and ventilation equipment; General-purpose machinery; Photocopying and printing equipment; Television and audio-visual equipment; Television and radio receivers, and sound or video recording or reproducing apparatus; Fire-brigade and rescue services;",02-Aug-2026 10:00,16-Aug-2026 17:00,"1. NID Card of Tenderer/Supplier. 2. Related Trade License of 2026-2027 financial year. 3. Tin Certificate & Income Tax Clearance Certificate for 2025-2026 Financial Year. 4. Updated VAT registration Certificate. 5. Sample Signature on the pad of Tenderar's own organization 6. Ownership Affidavit on 300 Taka Non-judicial Stamp 7. One copy of passport size color photograph. 8. Line of credit (LOR) of Tk 1.5 crore. 9. Bank statment of last 3 months with continuous Transaction and the total transaction should be not less than Tk 40 lacks. 10. General experience of 3 years in supply of goods and related services and specific experience shoule be not less than Tk 1 (One) crore in supply of similar goods in last 3 years. 11. Tender security as per TDS. 12. The tender will be evaluated as per submitted documents. If any dissimilarity found in documents submitted by tenderers at any stage of evaluation process, the tenderers will be considered non-Responsive. 13. If a quoted price is submitted at a rate excessively lower than the official estimated cost and appears to the TEC to be unrealistic and submitted with ulterior motives, it will be considered as an attempt to influence the tender evaluation process according to rule 42(2) PPR 2025. According to rule 149(2)(c) such act will be considered as 'conspiratorial act and shall take necessary actions against if following rule 149, PPR 2025. [Ref: 21.00.0000.363.27.114(4).25-26, Date: 04/05/2026.] 15. Subject to the fulfillment of all conditions, the authority will accept the winning bidder's tender through the e-GP SLT process and reserves the right to cancel the tender following rules of PPR-2025.","Supply of other machinery, equipment, and firefighting equipment for Rajshahi Metropolitan Police.",Lot wise,Package wise,Package wise,4000,Payment through Bank,13-Dec-2026,13-Dec-2026,1,"Supply of other machinery, equipment, and firefighting equipment for Rajshahi Metropolitan Police.","Rajshahi Metropolitan Police Headquarters, Kazihata, Rajshahi",600000,01-Sep-2026,30-Jun-2027,MOHAMMAD KHORSHED ALAM,Deputy Police Commissioner,"Address : Rajshahi Metropolitan Police, Rajshahi City : Rajshahi Thana : Rajshahi City Corporation District : Rajshahi - 2200 Country : Bangladesh","Rajshahi Metropolitan Police, Rajshahi",Rajshahi,Rajshahi City Corporation,Rajshahi - 2200,0721-775649,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312976
Ministry of Energy,Power and Mineral Resources,Bakhrabad Gas Distribution Company Limited,Revenue-South Department,,Chandpur,Physical Services,NCT,PPS,,,228492,1312089,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,"Rev.Feni-Currier/2026-2029 Appointment of currier service for distribution of monthly gas bills and other correspondence for Feni sadar, Bashurhat, Dagonbhuiya, Chhagalnaiya, Fulgazi, Parshuram.",Post and courier services; Postal and telecommunications services;Postal services;Courier services,,16-Aug-2026 12:00,As Per TDS,"Appointment of currier service for distribution of monthly gas bills and other correspondence for Feni sadar, Bashurhat, Dagonbhuiya, Chhagalnaiya, Fulgazi, Parshuram.",Package wise,,Package wise,500,Payment through Bank,12-Jan-2027,12-Jan-2027,,,BGDCL franchise areas in Feni District.,,05-Oct-2026,04-Oct-2029,RATHINDRA NATH SUR,Deputy General Manager,"Address : BGDCL Area Office, Chandpur City : Chandpur Thana : Chandpur Sadar District : Chandpur - 3600 Country : Bangladesh","BGDCL Area Office, Chandpur",Chandpur,Chandpur Sadar,Chandpur - 3600,01730-085733,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312089
Ministry of Home Affairs,,Bangladesh Police,"Traffic & Driving School(TDS), Dhaka",69,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,TDS/PO-44.01.2600..974.09.081.2026-2166,227510,1312996,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,TDS/06 Computer accessories supply,Computer and related services;Hardware consultancy services;Hardware selection consultancy services;Hardware disaster-recovery consultancy services;Computer-site planning consultancy services;Computer hardware acceptance testing consultancy services;Computer audit consultancy and hardware consultancy services;Software programming and consultancy services;Programming services of packaged software products;Systems and technical consultancy services;Custom software development services;Systems analysis and programming services;System maintenance and support services;Software-related services;Data services;Data-processing services;Database services;Computer-related services;Computer-related management services;Computer support and consultancy services;Computer network services;Computer upgrade services;Computer audit services;Computer testing services;Computer back-up services;Computer catalogue conversion services;Computer-related professional services,02-Aug-2026 10:00,16-Aug-2026 17:00,1. Updated Trade License 2. Income tax payment certificate 3. VAT Registration Certificate 4. Bank solvency certificate 5. Bank statements for the last 12 months 6. National Identity Card 7. Certificate of experience in the relevant work for the minimum 3 years 8. 02 copies of recent passport size colored photographs 9. Permanent address certificate from the Union Council or City Corporation or Municipality Chairman. 10. Checklist of documents.,Computer Accessories Supply,Lot wise,Package wise,Package wise,500,Payment through Bank,12-Jan-2027,12-Jan-2027,5,Computer accessories Supply,Traffic and Driving School TDS Mill Barrack Police line Dhaka,20000,01-Sep-2026,30-Jun-2027,Md. Abul Khair,DIG,"Address : Traffic & Driving School(TDS), Dhaka City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1232 Country : Bangladesh","Traffic & Driving School(TDS), Dhaka",Dhaka,Dhaka South City Corporation,Dhaka - 1232,02-7444873,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312996
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"Sulla Upazila Health Complex , Sunamganj",,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,UHC/Sulla/Sunam/Tender/2026-2027/120,228707,1313010,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,UHC/Sulla/Sunam/App 2026-27/MSR-01 Procurement of Non EDCL Medicine for the Fiscal year 2026-2027,"Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services",02-Aug-2026 10:00,11-Aug-2026 15:00,TDS & PCC,Procurement of Non EDCL Medicine for the Fiscal year 2026-2027,Lot wise,Package wise,Package wise,1000,Payment through Bank,07-Jan-2027,07-Jan-2027,Single Lot,Procurement of Non EDCL Medicine for the Fiscal year 2026-2027,"Sulla Upazila Health Complex , Sunamganj",40000,13-Aug-2026,12-Nov-2026,DEBOBRATA AICH MAJUMDER,UH&FPO,"Address : Sulla Upazila Health Complex , Sunamganj City : Sulla Thana : Sulla District : Sunamganj - 3050 Country : Bangladesh","Sulla Upazila Health Complex , Sunamganj",Sulla,Sulla,Sunamganj - 3050,0170-1248770,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313010
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"National Institute Of Burn and Plastic Surgery, Dhaka",,Dhaka,Goods (Framework Agreement),NCT,TENDER,Tender - Single Lot,NIBPS/e-Tender/2026-27/2515,228204,1312215,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"NIBPS/e-Tender/Non EDCL/2026-27/Gr-03 Procurement of Anesthetic, Antiseptic, Ointment and other Drugs For F.Y 2026-27 at National Institute of Burn and Plastic Surgery, Dhaka.","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks",02-Aug-2026 10:00,23-Aug-2026 12:00,As Per TDS & PCC,"Procurement of Anesthetic, Antiseptic, Ointment and other Drugs For F.Y 2026-27 at National Institute of Burn and Plastic Surgery, Dhaka.",Lot wise,Package wise,Package wise,4000,Payment through Bank,18-Jan-2027,18-Jan-2027,Single,"Procurement of Anesthetic, Antiseptic, Ointment and other Drugs For F.Y 2026-27 at National Institute of Burn and Plastic Surgery, Dhaka.",National Institute of Burn and Plastic Surgery Dhaka,500000,30-Aug-2026,30-Jun-2027,Mohammad Nashir Uddin,Director,Address : Sheikh Hasina National Institute of Burn and Plastic Surgery City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1101 Country : Bangladesh,Sheikh Hasina National Institute of Burn and Plastic Surgery,Dhaka,Dhaka North City Corporation,Dhaka - 1101,02-41052286,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312215
Ministry of Home Affairs,,Bangladesh Police,"Traffic & Driving School(TDS), Dhaka",69,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,TDS/PO-44.01.2600..974.09.081.2026-2164,227510,1312178,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,TDS/04 Sports equipment Supply,"Sports goods and equipment; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Outdoor sports equipment; Gymnasium equipment; Sporting services; Sports facilities operation services; Sport-related services;",02-Aug-2026 10:00,16-Aug-2026 17:00,1. Updated Trade License 2. Income tax payment certificate 3. VAT Registration Certificate 4. Bank solvency certificate 5. Bank statements for the last 12 months 6. National Identity Card 7. Certificate of experience in the relevant work for the minimum 3 years 8. 02 copies of recent passport size colored photographs 9. Permanent address certificate from the Union Council or City Corporation or Municipality Chairman. 10. Checklist of documents.,Sports Equipment Supply,Lot wise,Package wise,Package wise,500,Payment through Bank,12-Jan-2027,12-Jan-2027,1,Sports equipment Supply,Traffic and Driving School TDS Mill Barrack Police line Dhaka,13000,01-Sep-2026,30-Jun-2027,Md. Abul Khair,DIG,"Address : Traffic & Driving School(TDS), Dhaka City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1232 Country : Bangladesh","Traffic & Driving School(TDS), Dhaka",Dhaka,Dhaka South City Corporation,Dhaka - 1232,02-7444873,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312178
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"Sulla Upazila Health Complex , Sunamganj",,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,UHC/Sulla/Sunam/Tender/2026-2027/120,228707,1313013,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"UHC/Sulla/Sunam/App 2026-27/MSR-03 Procurement of Gauge, Bandage & Cotton Etc. for the Fiscal year 2026-2027","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services",02-Aug-2026 10:00,11-Aug-2026 15:00,TDS & PCC,"Procurement of Gauge, Bandage & Cotton Etc. for the Fiscal year 2026-2027",Lot wise,Package wise,Package wise,500,Payment through Bank,07-Jan-2027,07-Jan-2027,Single Lot,"Procurement of Gauge, Bandage & Cotton Etc. for the Fiscal year 2026-2027","Sulla Upazila Health Complex , Sunamganj",12500,13-Aug-2026,12-Nov-2026,DEBOBRATA AICH MAJUMDER,UH&FPO,"Address : Sulla Upazila Health Complex , Sunamganj City : Sulla Thana : Sulla District : Sunamganj - 3050 Country : Bangladesh","Sulla Upazila Health Complex , Sunamganj",Sulla,Sulla,Sunamganj - 3050,0170-1248770,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313013
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),"Sulla Upazila Health Complex , Sunamganj",,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,UHC/Sulla/Sunam/Tender/2026-2027/120,228707,1313011,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,UHC/Sulla/Sunam/App 2026-27/MSR-02 Procurement of Surgical Instrument for the Fiscal year 2026-2027,"Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services",02-Aug-2026 10:00,11-Aug-2026 15:00,TDS & PCC,Procurement of Surgical Instrument for the Fiscal year 2026-2027,Lot wise,Package wise,Package wise,1000,Payment through Bank,07-Jan-2027,07-Jan-2027,Single Lot,Procurement of Surgical Instrument for the Fiscal year 2026-2027,"Sulla Upazila Health Complex , Sunamganj",25000,13-Aug-2026,12-Nov-2026,DEBOBRATA AICH MAJUMDER,UH&FPO,"Address : Sulla Upazila Health Complex , Sunamganj City : Sulla Thana : Sulla District : Sunamganj - 3050 Country : Bangladesh","Sulla Upazila Health Complex , Sunamganj",Sulla,Sulla,Sunamganj - 3050,0170-1248770,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313011
