"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Energy","Power and Mineral Resources","Power Grid Bangladesh PLC","Grid Maintenance Division, Ishwardi","023","Pabna","Works","NCT","TENDER","Tender - Single Lot","27.21.6944.738.02.118.26.463, Date: 30-08-26","229923","1324973","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","WR-38 26-27 Jungle & shurb cutting and associated drain cleaning works at different places in Joynagar Power Grid colony under GMD, Power Grid, Ishwardi.","Forestry products; Forestry and logging products; Ornamental plants, grasses, mosses or lichens;","14-Sep-2026 12:00","07-Oct-2026 16:00","1. Updated valid trade license, TIN, BIN. 2. The tenderer shall have general working experience of at least 5 (five) years. 3. A satisfactory completion of civil construction/maintenance works having work order value of tk. 6.0 lac under maximum 01 contracts over a period of last 5 (five) years. 4.The average annual construction turnover shall be greater than tk. 10.0 lac in the last 3(three) years or best of 02 years in last 05 years. 5.The minimum amount of liquid asset or working capital or credites facilities of the tenderer shall have tk 5.0 (five) lac. 6. As per TDS, PCC","Jungle & shurb cutting and associated drain cleaning works at different places in Joynagar Power Grid colony under GMD, Power Grid, Ishwardi.","Lot wise","Package wise","Package wise","1000","Payment through Bank","03-Feb-2027","03-Feb-2027","1","Jungle & shurb cutting and associated drain cleaning works at different places in Joynagar Power Grid colony under GMD, Power Grid, Ishwardi.","Ishwardi Joynagar Colony","35000","29-Oct-2026","30-Jun-2027","Md. Ariful Kaiser","Executive Engineer","Address : Biddyut Bhabon,Alobag, Ishwardi, Pabna-6620 City : Ishwardi Thana : Ishwardi District : Pabna - 6620 Country : Bangladesh","Biddyut Bhabon,Alobag, Ishwardi, Pabna-6620","Ishwardi","Ishwardi","Pabna - 6620","07326-63498","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324973"
"Ministry of Energy","Power and Mineral Resources","Rural Electrification Board (REB)","Directorate of Procurement","MOPDREBDH0129","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","27.12.0000.019.07.249.26.346 Date:09/09/2026","230901","1331593","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","PBSF/26-27/G-46 Purchase of Super Enamel Cu Wire for storing at Dhaka/Khulna/Chittagong Warehouse (Phase-3)","Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment","14-Sep-2026 12:00","05-Oct-2026 16:00","1. Only Bangladeshi Tenderer. 2. As per TDS","Purchase of Super Enamel Cu Wire for storing at Dhaka/Khulna/Chittagong Warehouse (Phase-3)","Lot wise","Package wise","Package wise","5000","Payment through Bank","02-Apr-2027","02-Apr-2027","N/A","Purchase of Super Enamel Cu Wire for storing at Dhaka/Khulna/Chittagong Warehouse (Phase-3)","As Per Delivery Schedule","6000000","31-Dec-2026","29-Apr-2027","Saddam Hossain","DIRECTOR (PROCUREMENT)","Address : Rural Electrification Board, HQ Building (7th Floor), Nikunja-2, Khilkhet, Dhaka-1229 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1229 Country : Bangladesh","Rural Electrification Board, HQ Building (7th Floor), Nikunja-2, Khilkhet, Dhaka-1229","Dhaka","Dhaka North City Corporation","Dhaka - 1229","02-8900359","02-8900359","250000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1331593"
"Ministry of Home Affairs","","Bangladesh Coast Guard Force","OFFICE OF THE ZONAL COMMANDER EAST ZONE","","Chattogram","Works","NCT","TENDER","Tender - Single Lot","44.08.1561.200.24.002.26.3784","228671","1332361","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","GR ENGG FF -6 A Repair and Maintenance of Fitting and Fixture items for Officers mess & Sailors quarters at BCG base Chattogram.","Repair, maintenance and installation services;Repair, maintenance and associated services of vehicles and related equipment;Repair and maintenance services of motor vehicles and associated equipment;Demolition services of vehicles;Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;Repair, maintenance and associated services related to aircraft and other equipment;Repair, maintenance and associated services related to railways and other equipment;Repair, maintenance and associated services related to roads and other equipment;Repair, maintenance and associated services related to marine and other equipment;Repair, maintenance and associated services related to personal computers, office equipment, telecommunications and audio-visual equipment;Maintenance and repair of office machinery;Repair and maintenance services of personal computers;Maintenance services of telecommunications equipment;Repair and maintenance services of audio-visual and optical equipment;Repair and maintenance services of medical and precision equipment;Repair and maintenance services of measuring, testing and checking apparatus;Repair and maintenance services of medical and surgical equipment;Repair and maintenance services of precision equipment;Repair and maintenance services for pumps, valves, taps and metal containers and machinery;Repair and maintenance services of pumps, valves, taps and metal containers;Repair and maintenance services of machinery;Repair and maintenance services of building installations;Repair and maintenance services of electrical and mechanical building installations;Repair and maintenance services of central heating;Repair and maintenance services of cooler groups;Repair and maintenance services of escalators;Lift-maintenance services;Miscellaneous repair and maintenance services;Repair services of jewellery;Repair services of leather personal goods;Repair services of garments and textiles;Repair and maintenance services of weapons and weapon systems;Repair and maintenance services of furniture;Repair and maintenance services of musical instruments;Repair and maintenance services of playground equipment;Repair and maintenance services of hotel and restaurant equipment;Installation services;Installation services of electrical and mechanical equipment;Installation services of equipment for measuring, checking, testing and navigating;Installation services of communications equipment;Installation services of medical and surgical equipment;Installation services of machinery and equipment;Installation services of computers and office equipment;Installation services of metal containers","14-Sep-2026 13:45","23-Sep-2026 13:45","NA","Repair and Maintenance of Fitting and Fixture items for Officers mess & Sailors quarters at BCG base Chattogram.","Lot wise","Package wise","Package wise","1000","Payment through Bank","20-Jan-2027","20-Jan-2027","1","Repair and Maintenance of Fitting and Fixture items for Officers mess & Sailors quarters at BCG base Chattogram.","Chattogram","72000","28-Sep-2026","11-Oct-2026","MD MINHAZ ALAM","Zonal Commander East","Address : সামুদ্রিক মৎস্য একাডেমী, মৎস্য বন্দর, চট্টগ্রাম City : Chattogram Thana : Karnaphuli District : Chattogram - 4398 Country : Bangladesh","সামুদ্রিক মৎস্য একাডেমী, মৎস্য বন্দর, চট্টগ্রাম","Chattogram","Karnaphuli","Chattogram - 4398","031-2862812","02-8181276","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1332361"
"Ministry of Energy","Power and Mineral Resources","The Coal Power Generation Company Bangladesh Limited (CPGCBL)","Chief Engineer (O&M)","CE(O&M)_MPP","Cox's Bazar","Goods","NCT","TENDER","Tender - Single Lot","27.32.0000.000.033.07.0003.25-0700; Date: 14/09/26","229039","1329566","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","MPP_CE-2026-27/GR_19 Supply of floodlights for the boundary wall of Matarbari Power Plant.","Electrical machinery, apparatus, equipment and consumables; Electric motors, generators and transformers; Electricity distribution and control apparatus; Insulated wire and cable; Accumulators, primary cells and primary batteries; Lighting equipment and electric lamps; Electrical equipment and apparatus; Electronic, electromechanical and electrotechnical supplies;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Primary cells;Primary batteries;Electric accumulators;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic equipment;Electromechanical equipment;Electrotechnical equipment","14-Sep-2026 15:00","05-Oct-2026 14:00","As specified in TDS.","Supply of floodlights for the boundary wall of Matarbari Power Plant.","Lot wise","Package wise","Package wise","1000","Payment through Bank","02-Mar-2027","02-Mar-2027","01","Supply of floodlights for the boundary wall of Matarbari
Power Plant.","Matarbari USC Coal Based Power Plant, Matarbari, Moheshkhali, Coxs Bazar","35000","26-Nov-2026","20-Jan-2027","Muhammad Monowar Hossain Mojumder","Chief Engineer (O&M)","Address : Matarbari 2*600 USC Coal Based Power Plant, Matarbari, Moheshkhali, Cox's Bazar City : Matarbari Thana : Moheskhali District : Cox's Bazar - 4710 Country : Bangladesh","Matarbari 2*600 USC Coal Based Power Plant, Matarbari, Moheshkhali, Cox's Bazar","Matarbari","Moheskhali","Cox's Bazar - 4710","02-55138644","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1329566"
"Ministry of Home Affairs","","Bangladesh Police","ICT Section, Police Telecommunication organization, Rajarbag, Dhaka","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","44.01.0000.057.23.012.2026/7708","228899","1333729","One stage Two Envelopes Tendering Method (OSTETM)","Revenue","Government","Not applicable","Not applicable","GR999_26-27 Purchase of New 100 Workstations and Data Center with Hardware and Software for National Emergency Service 999 on turnkey basis.","Generators; Electric motors, generators and transformers; Electrical apparatus for switching or protecting electrical circuits; Electrical circuit components; Electricity distribution and control apparatus; Electronic, electromechanical and electrotechnical supplies; Electronic equipment; Electromechanical equipment; Electrotechnical equipment; Networks; Radio, television, communication, telecommunication and related equipment and apparatus; Local area network; Network equipment; Wide area network; Telemetry and terminal equipment; Telecommunications cable and equipment; Telephone equipment; Telecommunications equipment and supplies; Fibre-optic materials; Communications equipment; Telecommunications equipment and supplies; Data equipment; Installation services of electrical and mechanical equipment; Installation services; Installation services of communications equipment; Programming services of packaged software products; Software programming and consultancy services; Custom software development services; Systems analysis and programming services; Software programming and consultancy services; System maintenance and support services; Software-related services; Software programming and consultancy services; Data services; Data-processing services; Database services; Computer-related management services; Computer-related services; Computer network services; Computer upgrade services; Computer-related services; Computer testing services; Computer back-up services; Computer-related services; Computer catalogue conversion services; Computer-related professional services; Computer-related services;","14-Sep-2026 15:00","12-Oct-2026 16:00","As per TDS.","Purchase of New 100 Workstations and Data Center with Hardware and Software for National Emergency Service 999 on turnkey basis.","Lot wise","Package wise","Package wise","7000","Payment through Bank","10-Mar-2027","10-Mar-2027","01","Purchase of New 100 Workstations and Data Center with Hardware and Software for National Emergency Service 999 on turnkey basis.","NATIONAL EMERGENCY SERVICE 999 12 APBN Headquarters, Purbachal or As Desired by Bangladesh Police","15000000","26-Jan-2027","27-May-2027","Mohammad Morshad Alam","SP","Address : ICT Section, Police Telecommunication organization, Rajarbag, Dhaka City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","ICT Section, Police Telecommunication organization, Rajarbag, Dhaka","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-226664487","02-8301404","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1333729"
"Ministry of Agriculture","","Bangladesh Agricultural Development Corporation (BADC)","Project Director Office Ashuganj-Palash Green Project","","Brahmanbaria","Works","NCT","TENDER","Tender - Single Lot","e-GP/APGP/2026-27/W-37/Lot-19/T-65","230673","1330499","Open Tendering Method (OTM)","Development","Government","224423400","Ashuganj-Palash Green Project","e-GP/APGP/2026-27/W-37/Lot-19 Construction/Re-Construction of  RCC Secondary Irrigation Canal","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 12:00","29-Sep-2026 16:00","Reputed Contractors/Construction firms who have minimum 5 (Five) years of general experience in construction works having a satisfactory completion of similar nature of work as specific experience i.e any of kind of Hydraulic structure (Regulator/Sluice Gate/ Foot bridge/Submerged weir/Cross Dam/Box Culvert/Syphon/Cattle Crossing/Water Pass/RCC Drain) of value Tk 44.0 (Forty Four) Lakh under a single contract within the last 05 years are eligible for this tender. The minimum amount of free fund (Liquid asset) or working capital or credit facilities of the tenderer shall be Tk. 60.00 (Sixty) Lakh. Document submitted along with the tender must be issued in between publication date and submission date of the tender. Original Certificate (scanned Copy) of Liquid Asset or credit facilities from any scheduled bank of Bangladesh must be enclosed along with the tender in the form of letter of commitment for Bank undertaking for line of credit for this purpose shall be submitted as per Form of tender and contract forms; The tenderer shall have minimum average annual construction Turnover of Tk. Tk 44.0 (Forty Four) Lakh during the last 5 years; The Tenderer must enclose up-to-date Trade license, income Tax clearance certificate and VAT registration certificate along with the Tender; Other required eligibility and conditions of the Tender are shown in the Tender Data Sheet (TDS) of the tender documents. The work of the packages may be totally dropped, decreased, or increased according to field condition/design/ budget allocation so that no claim will be entertained. Payment shall be made subject to the availability of funds. No claim in this regard will be entertained. Bidders can bid for all tenders in the same package & could be awarded one tender only.","Construction/Re-Construction of RCC Secondary Irrigation Canal","Lot wise","Package wise","Package wise","2500","Payment through Bank","24-Feb-2027","24-Feb-2027","19","Construction/Re-Construction of  RCC Secondary Irrigation Canal","Brahmanbaria-Ashuganj Project Area","174200","01-Nov-2026","30-Jun-2027","Mohammed Obaid Hossain","Project   Director","Address : BADC Sesh Complex, Shimraikandi
Brahmanbaria Sadar, Brahmanbaria City : Brahmanbaria Thana : Brahmanbaria Sadar District : Brahmanbaria - 3400 Country : Bangladesh","","Brahmanbaria","Brahmanbaria Sadar","Brahmanbaria - 3400","02-334437262","","8709800.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330499"
"Ministry of Home Affairs","","Bangladesh Police","Office of the Superintendent of Police, Jamalpur","00173","Jamalpur","Goods","NCT","TENDER","Tender - Single Lot","SP/JAMALPUR/2026-2027/1262-02","226604","1332867","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","SP/JAMALPUR/2026-2027/1262-02 Supply of Ration Item (Soybean Oil) for the 2nd Quarter of the 2026-2027 Financial Year under District Police, Jamalpur.","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","14-Sep-2026 12:52","27-Sep-2026 17:52","1. The Tenderer shall have a general experience in supplying goods of last 02 (two) years 2. Satisfactory completion of similar nature of good supply work worth not less than Tk 8400000.00 only in a single work order in Government 3. Tenderers must be liquid assets amounting Tk.11000000.00 only in the of latest PG3-8 4. Up date Trade License, up date Income Tax Clearance and up-to date Vat Registration Certificate, Bank Solvency certificate, Tender documents purchase voucher, Previous experience documents, Bank Transaction statement for last 6 month. A Certificate stating that tenderer/supplier is not blacklisted. 5. Income tax and vat will be deducted as per government rules and regulations of the.government. Bills will be paid in the upcoming fiscal years upon allocation of funds from the government. 6. A certificate of ownership of the company. 7. Authorization letter (Soyabean Oil). 8. Citizenship certificate & national identity card copy. 9. If for any reason the market price increases, the contractor will be obliged to supply the goods at the quoted/awarded price paid by him. Otherwise, legal action will be taken against the concerned contractor including forfeiture of the tender security/performance security money. 10.Samples must be submitted along with the tender submission. 11. The Purchaser reserves the right to accept, reject or cancel the tender at any time without assigning any reason.The Authority is not bound to accept the tender of the lowest bidder.","Supply of Ration Item (Soybean Oil) for the 2nd Quarter of the 2026-2027 Financial Year under District Police, Jamalpur.","Lot wise","Package wise","Package wise","2500","Payment through Bank","24-Jan-2027","24-Jan-2027","02","Supply of Ration Item (Soybean Oil) for the 2nd Quarter of the 2026-2027 Financial Year under District Police, Jamalpur.","Sp Office Jamalpur","335000","01-Oct-2026","31-Dec-2026","MST. FARHANA YESMIN","SP","Address : Office of the Superintendent of Police, Jamalpur City : Jamalpur Thana : Jamalpur Sadar District : Jamalpur - 2000 Country : Bangladesh","Office of the Superintendent of Police, Jamalpur","Jamalpur","Jamalpur Sadar","Jamalpur - 2000","0981-62143","0981-62447","12000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1332867"
"Ministry of Agriculture","","Bangladesh Agricultural Development Corporation (BADC)","Project Director Office Ashuganj-Palash Green Project","","Brahmanbaria","Works","NCT","TENDER","Tender - Single Lot","e-GP/APGP/2026-27/W-37/Lot-07/T-53","230673","1330484","Open Tendering Method (OTM)","Development","Government","224423400","Ashuganj-Palash Green Project","e-GP/APGP/2026-27/W-37/Lot-07 Construction of  RCC Secondary Irrigation Canal","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 12:00","29-Sep-2026 16:00","Reputed Contractors/Construction firms who have minimum 5 (Five) years of general experience in construction works having a satisfactory completion of similar nature of work as specific experience i.e any of kind of Hydraulic structure (Regulator/Sluice Gate/ Foot bridge/Submerged weir/Cross Dam/Box Culvert/Syphon/Cattle Crossing/Water Pass/RCC Drain) of value Tk 38.0 (Thirty Eight) Lakh under a single contract within the last 05 years are eligible for this tender. The minimum amount of free fund (Liquid asset) or working capital or credit facilities of the tenderer shall be Tk. 50.00 (Fifty) lakh. Document submitted along with the tender must be issued in between publication date and submission date of the tender. Original Certificate (scanned Copy) of Liquid Asset or credit facilities from any scheduled bank of Bangladesh must be enclosed along with the tender in the form of letter of commitment for Bank undertaking for line of credit for this purpose shall be submitted as per Form of tender and contract forms; The tenderer shall have minimum average annual construction Turnover of Tk 38.0. (Thirty Eight) Lakh during the last 5 years; The Tenderer must enclose up-to-date Trade license, income Tax clearance certificate and VAT registration certificate along with the Tender; Other required eligibility and conditions of the Tender are shown in the Tender Data Sheet (TDS) of the tender documents. The work of the packages may be totally dropped, decreased, or increased according to field condition/design/ budget allocation so that no claim will be entertained. Payment shall be made subject to the availability of funds. No claim in this regard will be entertained. Bidders can bid for all tenders in the same package & could be awarded one tender only.","Construction of RCC Secondary Irrigation Canal","Lot wise","Package wise","Package wise","2500","Payment through Bank","24-Feb-2027","24-Feb-2027","07","Construction of  RCC Secondary Irrigation Canal","Narsingdi-Palash Project Area","151900","01-Nov-2026","30-Jun-2027","Mohammed Obaid Hossain","Project   Director","Address : BADC Sesh Complex, Shimraikandi
Brahmanbaria Sadar, Brahmanbaria City : Brahmanbaria Thana : Brahmanbaria Sadar District : Brahmanbaria - 3400 Country : Bangladesh","","Brahmanbaria","Brahmanbaria Sadar","Brahmanbaria - 3400","02-334437262","","7595000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330484"
"Ministry of Industries","","Bangladesh Sugar and Food Industries Corporation (BSFIC)","Carew and Company (Bangladesh) Ltd.-Commercial Department.","","Chuadanga","Goods","NCT","TENDER","Tender - Single Lot","Carew/com/G-7/2026-27/10","225429","1329099","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","Carew/Com/APP/2026-27/73 Procurement of M.S U-Channel, Angle Bar and Plate of Trailer for Transport Section","Spare parts for goods vehicles; Parts and accessories for vehicles and their engines;","14-Sep-2026 12:00","28-Sep-2026 17:00","1. Tenderer shall have i) Valid & updated trade license. ii) Valid & updated income tax & TIN certificate iii) Valid VAT/BIN registration certificate 2. The tenderer shall have a minimum of 02 (Two) years general experience in the supply of M.S U-Channel/ Angle Bar/Plate/Similar Goods and Related Service .3. The tenderer shall have specific experience of satisfactory completion of M.S U-Channel/ Angle Bar/Plate/Similar Goods and Related Service of minimum Tk.6.00 Lac under single contract within last 02 (Two) years (years counting backward from the date of publication of IFT in the newspaper/e-GP System) in any Government/Semi-Government/Autonomous/Multinational organization. 4. The minimum amount of free funds (liquid assets)/credit facilities shall be Tk 10,00,000.00 (Ten lac)","Procurement of M.S U-Channel, Angle Bar and Plate of Trailer for Transport Section","Lot wise","Package wise","Package wise","1000","Payment through Bank","26-Mar-2027","26-Mar-2027","1","Procurement of M.S U-Channel, Angle Bar and Plate of Trailer for Transport Section","Carew and co, Darsona, Chuadanga","30000","04-Oct-2026","29-Oct-2026","MD. BODROL ALAM","Manager (Commercial) -Carew and Company (Bangladesh) Ltd","Address : Carew and Company (Bangladesh) Ltd. 
Post office- Darsana, 
District-Chuadanga, Bangladesh City : Darsona Thana : Damurhuda District : Chuadanga - 7221 Country : Bangladesh","","Darsona","Damurhuda","Chuadanga - 7221","77-791017","","1300000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1329099"
"Ministry of Energy","Power and Mineral Resources","Bangladesh Power Development Board","Office of The Executive Engineer (Civil), Khulna Power Station, Khulna.","","Khulna","Goods","NCT","TENDER","Tender - Single Lot","27.11.4700.429.305.2026-324; Dated: 07/09/2026","229195","1323569","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","GR-4 Kps Procurement of different types of plumbing materials for water supply & sewerage lines for khulna power station, BPDB, Khulna.","Plastic plates, sheets, tubes and profiles; Plastic products; Packaging products of plastics; Builders ware of plastic; Plastic products; Miscellaneous plastic products; Resins; Plastic products;","14-Sep-2026 12:45","27-Sep-2026 16:00","Tenderer shall submit with its Tender, the following additional documents: Up to date: 1. Income tax Certificate. 2. Vat registration certificate. 3. Trade license. 4. Related Working experience/ turnover for 3 (three) years as per requirement in tender schedule. 5. Financial Solvency Certificate (minimum tk 2,90,000.00 ) from any scheduled Bank.","Procurement of different types of plumbing materials for water supply & sewerage lines for khulna power station, BPDB, Khulna.","Lot wise","Package wise","Package wise","500","Payment through Bank","23-Feb-2027","23-Feb-2027","1","Procurement of different types of plumbing materials for water supply & sewerage lines for khulna power station, BPDB, Khulna.","Khulna power station","8000","01-Oct-2026","15-Oct-2026","Md. Imdadul Hoque","Executive Engineer","Address : Khulna Power Station, BPDB, Goalpara, Khalishpur, Khulna. City : Khulna Thana : Khulna City Corporation District : Khulna - 9000 Country : Bangladesh","Khulna Power Station, BPDB, Goalpara, Khalishpur, Khulna.","Khulna","Khulna City Corporation","Khulna - 9000","041-760046","041-763573","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323569"
"Ministry of Energy","Power and Mineral Resources","Power Grid Bangladesh PLC","Grid Maintenance Division, Ishwardi","023","Pabna","Works","NCT","TENDER","Tender - Single Lot","27.21.6944.738.02.118.26.484, Date: 09-09-26","229923","1331993","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","WR-24 26-27 Cutting jungle & shurb in switchyard area of different grid sub-station under GMD, Power Grid, Ishwardi.","Forestry products; Forestry and logging products; Ornamental plants, grasses, mosses or lichens;","14-Sep-2026 12:00","07-Oct-2026 16:00","1. Updated valid Trade license, TIN, BIN. 2. The tenderer shall have general working experience of at least 3 (five) years. 3. A satisfactory completion of civil construction/maintenance works work order value of tk. 5.0 lac under maximum 01 contracts over a period of last 3 (three) years. 4.The average annual construction turnover shall be greater than tk. 5.0 lac in the last 3(three) years or best of 02 years in last 05 years. 5.The minimum amount of liquid asset or working capital or credites facilities of the tenderer shall have tk 3.0  lac. 6. Other criteria As per TDS, PCC.","Cutting jungle & shurb in switchyard area of different grid sub-station under GMD, Power Grid, Ishwardi.","Lot wise","Package wise","Package wise","500","Payment through Bank","03-Feb-2027","03-Feb-2027","1","Cutting jungle & shurb in switchyard area of different grid sub-station under GMD, Power Grid, Ishwardi.","Different grid substation under GMD Ishwardi","20000","01-Nov-2026","30-Jun-2027","Md. Ariful Kaiser","Executive Engineer","Address : Biddyut Bhabon,Alobag, Ishwardi, Pabna-6620 City : Ishwardi Thana : Ishwardi District : Pabna - 6620 Country : Bangladesh","Biddyut Bhabon,Alobag, Ishwardi, Pabna-6620","Ishwardi","Ishwardi","Pabna - 6620","07326-63498","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1331993"
