"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Post","Telecommunications & Information Technology","Bangladesh Hi-Tech Park Authority","Digital Entrepreneurship and Innovation Eco-System Development Project","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","56.02.0000.028.07.219.26-1113-DEIEDP-BHTPA-G17-2","227414","1322889","Open Tendering Method (OTM)","Development","Government, Other Source Fund","224335600","Digital Entrepreneurship and Innovation Eco-System Development Project","DEIEDP-BHTPA - G17-2 Supply of Goods/Equipment for setting up common facilities in Shahrasti Government Multilateral High School, Cumilla, Lab-6","Office and computing machinery, equipment and supplies; Electrical machinery, apparatus, equipment and consumables; Radio, television, communication, telecommunication and related equipment and apparatus;Office machinery, equipment and supplies except computers;Word-processing machines;Photocopying and printing equipment;Post-office equipment;Calculating and accounting machines;Typewriters;Parts and accessories of typewriters and calculating machines;Various office equipment and supplies;Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment;Electronic valves, tubes and electronic components;Electrical capacitors;Electrical resistors;Printed circuits;Valves and tubes;Semiconductors;Electronic integrated circuits and microassemblies;Parts of electronic assemblies;Modules;Transmission apparatus for radiotelephony, radiotelegraphy, radio broadcasting and television;Broadcasting equipment;Television transmission apparatus without reception apparatus;Radio transmission apparatus with reception apparatus;Television cameras;Mobile telephones;Data-transmission equipment;Digital transmission apparatus;Television and radio receivers, and sound or video recording or reproducing apparatus;Radio broadcast receivers;Television and audio-visual equipment;Apparatus for sound, video-recording and reproduction;Microphones and loudspeakers;Parts of sound and video equipment;Intercom equipment;Networks;Local area network;Network equipment;Wide area network;Telemetry and terminal equipment;Telecommunications equipment and supplies;Wireless telecommunications system;Telecommunications cable and equipment;Satellite-related communications equipment;Switchboards;Telephone equipment;Fibre-optic materials;Communications equipment;Data equipment","27-Aug-2026 09:00","14-Sep-2026 15:00","As per e-Tender Document","Supply of Goods/Equipment for setting up common facilities in Shahrasti Government Multilateral High School, Cumilla, Lab-6","Lot wise","Package wise","Package wise","2500","Payment through Bank","10-Feb-2027","10-Feb-2027","1","Supply of Goods/Equipment for setting up common facilities in Shahrasti Government Multilateral High School, Cumilla, Lab-6","Shahrasti Government Multilateral High School, Cumilla","250000","19-Oct-2026","16-Feb-2027","MONJUR MOHAMMAD SHAHRIAR","Project Director","Address : Level-9,(South), Bangladesh Copyright Bhaban, F-20/B,   West Agargaon Administrative Area, Sher-e-Bangla Nagar, Dhaka-1207. City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh","Level-9,(South), Bangladesh Copyright Bhaban, F-20/B,   West Agargaon Administrative Area, Sher-e-Bangla Nagar, Dhaka-1207.","Dhaka","Dhaka North City Corporation","Dhaka - 1207","02-223314941","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322889"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Chattogram South Road Division","doh001","Chattogram","Works","NCT","TENDER","Tender - Single Lot","e-GP/EE/CSRD/OTM/Retrofitting/06/2026-2027","228171","1321143","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP/EE/CSRD/OTM/Retrofitting/06/2026-2027 Retrofitting of Midway RCC Bridge at 311 th(P) Km (Chainage: 310+017m) of Dhaka (Jatrabari) Cumilla (Moynamoti)- Chattogram- Cox's Bazar- Teknaf National Highway (N-1) under Chattogram South Road Division during the year 2026-2027.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","27-Aug-2026 08:00","13-Sep-2026 15:00","1. Any / All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document N.B: i) Tenderers are requested to fill different Tender Forms (Section 5: Tender and Contract Forms) properly with necessary information and by uploading necessary document(s), which will considered for tender evaluation. ii) Unnecessary / Excess document(s) are discouraged to upload/attach.","Retrofitting of Midway RCC Bridge at 311 th(P) Km (Chainage: 310+017m) of Dhaka (Jatrabari) Cumilla (Moynamoti)- Chattogram- Cox's Bazar- Teknaf National Highway (N-1) under Chattogram South Road Division during the year 2026-2027.","Lot wise","Package wise","Package wise","4000","Payment through Bank","11-Mar-2027","11-Mar-2027","01","Retrofitting of Midway RCC Bridge at 311 th(P) Km (Chainage: 310+017m) of Dhaka (Jatrabari) Cumilla (Moynamoti)- Chattogram- Cox's Bazar- Teknaf National Highway (N-1) under Chattogram South Road Division during the year 2026-2027.","N-1","575000","01-Dec-2026","31-May-2027","Pintu Chakma","Executive Engineer","Address : Chattogram South Road Division, Sarak Bhaban, Dohazari City : Chattogram Thana : Chandanish District : Chattogram - 0000 Country : Bangladesh","Chattogram South Road Division, Sarak Bhaban, Dohazari","Chattogram","Chandanish","Chattogram - 0000","031-35022","","25554900.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321143"
"Ministry of Local Government","Rural Development and Co-operatives","Khulna City Corporation","Executive Engineer (Mech.) at Office of the Executive Engineer (Mech.) , Khulna City Corporation","","Khulna","Goods","NCT","TENDER","Tender - Single Lot","APP ID : 	216057","216057","1320596","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","KCC/Won/XEN-M/2025-26/G-83 Purchasing and Repairing works of Eicher- 5/5 No (Ten wheel) Truck, Khulna Metro U-11-0101 No DumTruck, Eicher- 16/20 No Truck, China Truck- (LGED) 04, City Building Generator, Khulna Metro Gha-12-6046 No Mark To Car, Khulna Metro Sha-11-0007 No Tipping Truck & Wheel Loder-06.","Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.","27-Aug-2026 09:52","16-Sep-2026 17:00","As per TDS and ITT 1. The minimum specific experience as Supplier in supply of similar Goods of at least one (1) contract successfully completed within the last [state number] years, with a value of at least  TK 3,90,000.00 2. The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be  TK: 5,85,000.00 3. Payment will be made upon the availability of funds. For this,s no claim will be entertained. 4. VAT & IT from the bill will be as per the prevailing Government Rate. No extra claim will be entertained in this regard. 5. To ensure the Quality of the material, Various tests shall be performed by the tenderer as per instructions.","KCC/Won/XEN-M/2025-26/G-83 Purchasing and Repairing works of Eicher- 5/5 No (Ten wheel) Truck, Khulna Metro U-11-0101 No DumTruck, Eicher- 16/20 No Truck, China Truck- (LGED) 04, City Building Generator, Khulna Metro Gha-12-6046 No Mark To Car, Khulna Metro Sha-11-0007 No Tipping Truck & Wheel Loder-06.","Lot wise","Package wise","Package wise","500","Payment through Bank","12-Feb-2027","12-Feb-2027","1","Purchasing and Repairing works of Eicher- 5/5 No (Ten wheel) Truck, Khulna Metro U-11-0101 No DumTruck, Eicher- 16/20 No Truck, China Truck- (LGED) 04, City Building Generator, Khulna Metro Gha-12-6046 No Mark To Car, Khulna Metro Sha-11-0007 No Tipping Truck & Wheel Loder-06.","Khulna City Corporation","18200","22-Oct-2026","30-Jun-2027","Bidyut Kumar Das","Executive Engineer","Address : 28 KD GHOSH ROAD ,KHULNA City : Khulna Thana : Khulna City Corporation District : Khulna - 9100 Country : Bangladesh","28 KD GHOSH ROAD ,KHULNA","Khulna","Khulna City Corporation","Khulna - 9100","041-721337","","680000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320596"
"Ministry of Local Government","Rural Development and Co-operatives","Local Government Engineering Department (LGED)","Office of the Upazila Engineer, LGED, Dhamrai, Dhaka","","Dhaka","Works","NCT","TENDER","Tender - Single Lot","46.02.2614.000.721.14.0002.26.1140","230559","1322158","Open Tendering Method (OTM)","Development","Government","224398900","Construction of Union Parishad Complex Bhaban Project (Phase-3)","e-GP/UPCBP/DHAK/DHAM/2026/W055 Construction of Baisakanda Union Parishad Complex Building at Baisakanda, Dhamrai, Dhaka","Building installation work; Construction work; Building completion work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work","27-Aug-2026 10:00","13-Sep-2026 16:00","All criteria stipulated in the Tender Data Sheet","e-GP/UPCBP/DHAK/DHAM/2026/W055 Construction of Baisakanda Union Parishad Complex Building at Baisakanda, Dhamrai, Dhaka","Lot wise","Package wise","Package wise","4000","Payment through Bank","09-Feb-2027","09-Feb-2027","Single","Construction of Baisakanda Union Parishad Complex Building at Baisakanda, Dhamrai, Dhaka","Baisakanda, Dhamrai, Dhaka","1200000","14-Oct-2026","07-Mar-2028","Misuk Kumer Datta","Upazila Engineer","Address : Dhamrai Upazila Parishad, Dhamrai City : Dhamrai Thana : Dhamrai District : Dhaka - 1350 Country : Bangladesh","Dhamrai Upazila Parishad, Dhamrai","Dhamrai","Dhamrai","Dhaka - 1350","02-7730123","","45100000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322158"
"Ministry of Public Administration","","Bangladesh Public Service Commission Secretariat","Deputy Director, Admin Section -3","003","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","80.00.0000.403.32.032.25-159","227496","1321923","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","80.00.0000.403.32.032.25/Envelope Supplying envelopes of various sizes.","Printing, publishing and related services;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services","27-Aug-2026 09:00","07-Sep-2026 16:00","(a) Attested copy of updated trade license; (b) Attested copy of updated income tax payment certificate; (c) Attested copy of VAT registration; (d) Certificate of Liquid Assets of the amount mentioned in the schedule (photocopy not acceptable); As Bank Guarantee line of credit must be given; (e) Attested copy of the experience certificate for Supplying of envelopest of the amount mentioned in the schedule (Notification of Award (NOA)/ Contract Agreement/Work Order/enlisted certificate are not acceptable); (f) Authorization Letter (where applicable) by the appropriate person of the respective organization; (g) The relevant page of the tender schedule must be filled; (h) In addition, all the terms and conditions of the schedule and the required information must be proved.","Supplying envelopes of various sizes.","Lot wise","Package wise","Package wise","1000","Payment through Bank","04-Jan-2027","04-Jan-2027","single","Supplying envelopes of various sizes.","BPSC","30000","30-Sep-2026","29-Oct-2026","MOFIJUR RAHMAN","Deputy Director","Address : Agargaon, Sher-e-Bangla Nagar,
Dhaka-1207 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh","","Dhaka","Dhaka North City Corporation","Dhaka - 1207","02-55006639","","1600000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321923"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Kurigram Road Division","eekurigram","Kurigram","Goods","NCT","TENDER","Tender - Single Lot","e-GP/02/Supply/EE/RHD/KRD/2026-2027","230303","1323182","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP/02/Supply/EE/RHD/KRD/2026-2027 Supplying of Stone Chips, Pea-Gravels, Geo-Bag, Sand & Fire wood at RHD Kurigram Stack yard for departmental emergency repair & maintenance work for different roads of Road Sub-Division-2 under Road Division, Kurigram during the FY 2026-2027.","Engineering works and construction works; Works for complete or part construction and civil engineering work;","27-Aug-2026 10:00","13-Sep-2026 17:00","1. Any/All tenderers who have registration in the Government e-GP system may participate in the tender provided they fulfill the criteria stated in the Tender Data Sheet (TDS).The Tenderer shall be evaluated based on the latest revision of PPA-2006 & PPR-2025. 2. The Tenderers must upload Rate Analysis in support of their quoted rates. 3. The Tenderer will be evaluated in the e-GP system.","Supplying of Stone Chips, Pea-Gravels, Geo-Bag, Sand & Fire wood at RHD Kurigram Stack yard for departmental emergency repair & maintenance work for different roads of Road Sub-Division-2 under Road Division, Kurigram during the FY 2026-2027.","Lot wise","Package wise","Package wise","1500","Payment through Bank","09-Feb-2027","09-Feb-2027","01","Supplying of Stone Chips, Pea-Gravels, Geo-Bag, Sand & Fire wood at RHD Kurigram Stack yard for departmental emergency repair & maintenance work for different roads of Road Sub-Division-2 under Road Division, Kurigram during the FY 2026-2027.","As given in the brief Description of works","80000","01-Oct-2026","31-Dec-2026","Mir Nizam Uddin Ahmed","Executive Engineer","Address : Executive Engineer, Kurigram Road Division City : Kurigram Thana : Kurigram Sadar District : Kurigram - 0581 Country : Bangladesh","Executive Engineer, Kurigram Road Division","Kurigram","Kurigram Sadar","Kurigram - 0581","0581-61658","0581-61658","2994000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323182"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Chattogram South Road Division","doh001","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","e-GP/EE/CSRD/OTM/Supply/07/2026-2027","228171","1322227","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP/EE/CSRD/OTM/Supply/07/2026-2027 Supplying of Bullah, Gunny Bag, Geo Bag and Drum Sheet for Routine Maintenance work at different Road of Dohazari Road Sub-Division under Chattogram South Road Division during the year 2026-2027.","Works for complete or part construction and civil engineering work; Construction work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works","27-Aug-2026 08:00","06-Sep-2026 15:00","1. Any / All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document N.B: i) Tenderers are requested to fill different Tender Forms (Section 5: Tender and Contract Forms) properly with necessary information and by uploading necessary document(s), which will considered for tender evaluation. ii) Unnecessary / Excess document(s) are discouraged to upload/attach.","Supplying of Bullah, Gunny Bag, Geo Bag and Drum Sheet for Routine Maintenance work at different Road of Dohazari Road Sub-Division under Chattogram South Road Division during the year 2026-2027.","Lot wise","Package wise","Package wise","500","Payment through Bank","04-Mar-2027","04-Mar-2027","01","Supplying of Bullah, Gunny Bag, Geo Bag and Drum Sheet for Routine Maintenance work at different Road of Dohazari Road Sub-Division under Chattogram South Road Division during the year 2026-2027.","Dohazari Road Sub-Division","22000","01-Nov-2026","31-Oct-2027","Pintu Chakma","Executive Engineer","Address : Chattogram South Road Division, Sarak Bhaban, Dohazari City : Chattogram Thana : Chandanish District : Chattogram - 0000 Country : Bangladesh","Chattogram South Road Division, Sarak Bhaban, Dohazari","Chattogram","Chandanish","Chattogram - 0000","031-35022","","970700.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322227"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Workshop Division, Santahar","workdivsan","Bogura","Goods","NCT","TENDER","Tender - Single Lot","EEWDS/ME-37/2026-27","228614","1324085","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","EEWDS/ME-37/2025-26 Supplying of Different Type Tools/filters for Repairing Inspection vehicles and Road Maintanance Truck for Different Road Division under workshop Division Santahar, Bogura  during the Year 2026-27.","Machinery for the production and use of mechanical power; Machinery, equipment, appliances, apparatus and associated products; Motor vehicles, trailers and vehicle parts; Motor vehicles; Vehicle bodies, trailers or semi-trailers; Parts and accessories for vehicles and their engines; Motorcycles, bicycles and sidecars;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;Passenger cars;Motor vehicles for the transport of 10 or more persons;Motor vehicles for the transport of goods;Heavy-duty motor vehicles;Vehicle bodies;Trailers, semi-trailers and mobile containers;Engines and engine parts;Mechanical spare parts except engines and engine parts;Test benches;Vehicle conversion kits;Seat belts;Spare parts for goods vehicles;Spare parts for vans;Spare parts for cars;Tractor accessories;Motorcycles;Motor scooters;Cycles with auxiliary motors;Bicycles","27-Aug-2026 10:00","09-Sep-2026 10:00","01. Up to date Trade License. 02. Up to date VAT Certificate. 03. Up to date TIN Certificate. 04. Nationality Certificate/National ID Card. 05. Authorization Letter. 06. A satisfactory completion certificate of similar works of at least Tk. 3.80 (Three point Eight lakh) under 01 (Single) of contract(s) over a period of 10 [Ten] years in any Government/Semi Government/Autonomous organizations. 07. Tenderer must have a minimum period of general experience 03 (Three) years i.e the tenderer must provide experience certificates of last 05 (Five) years. 08. Certificate of the minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be Tk. 3.80 (Three point Eight lakh) Bank Statement will not be considered as certificate of liquid assets. 09. Tenderer must have minimum average annual construction Turnover of Tk. 3.80 (Three point Eight lakh) during the last 05 (Five) years. Only the payment certificate will be granted as CTO certificate. 10.Each spare parts/item must be original and of same quality (tested).","Supplying of Different Type Tools/filters for Repairing Inspection vehicles and Road Maintanance Truck for Different Road Division under workshop Division Santahar, Bogura during the Year 2026-27.","Lot wise","Package wise","Package wise","500","Payment through Bank","04-Feb-2027","04-Feb-2027","01","Supplying of Different Type Tools/filters for Repairing Inspection vehicles and Road Maintanance Truck for Different Road Division under workshop Division Santahar, Bogura  during the Year 2026-27.","Workshop Sub-Division,Santahar,Bogura","14000","10-Sep-2026","30-Sep-2026","A.K.M. Monzur Morshed","Executive Engineer","Address : Workshop Division, Santahar City : santahar Thana : Adamdighi District : Bogura - 0000 Country : Bangladesh","Workshop Division, Santahar","santahar","Adamdighi","Bogura - 0000","02-717350","","600331.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324085"
"Ministry of Home Affairs","","Bangladesh Police","Central Procurement Section, Rapid Action Battalion Forces Headquarters, Kurmitola, Dhaka","00174","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","RAB HQ/CPS/2026-2027/3258116/221 Date:17-08-2026","225831","1319484","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","G-21B/2026-2027 Repairing & Procurement of Networking Accessories and Power Backup System.","Radio, television, communication, telecommunication and related equipment and apparatus; Electronic valves, tubes and electronic components; Transmission apparatus for radiotelephony, radiotelegraphy, radio broadcasting and television; Television and radio receivers, and sound or video recording or reproducing apparatus; Networks; Telecommunications equipment and supplies;Electrical capacitors;Electrical resistors;Printed circuits;Valves and tubes;Semiconductors;Electronic integrated circuits and microassemblies;Parts of electronic assemblies;Modules;Broadcasting equipment;Television transmission apparatus without reception apparatus;Radio transmission apparatus with reception apparatus;Television cameras;Mobile telephones;Data-transmission equipment;Digital transmission apparatus;Radio broadcast receivers;Television and audio-visual equipment;Apparatus for sound, video-recording and reproduction;Microphones and loudspeakers;Parts of sound and video equipment;Intercom equipment;Local area network;Network equipment;Wide area network;Telemetry and terminal equipment;Wireless telecommunications system;Telecommunications cable and equipment;Satellite-related communications equipment;Switchboards;Telephone equipment;Fibre-optic materials;Communications equipment;Data equipment","27-Aug-2026 09:00","06-Sep-2026 09:00","The Bidder should have valid Trade License, Current Bank Solvency Certificate, Income Tax Certificate, VAT Registration Certificate. Bidder should not be Blacklisted by any Government Organization in Bangladesh.","Repairing & Procurement of Networking Accessories and Power Backup System.","Lot wise","Package wise","Package wise","2500","Payment through Bank","03-Mar-2027","03-Mar-2027","1","Repairing & Procurement of Networking Accessories and Power Backup System.","RAB Forces Headquarters, Kurmitola-1229","135000","07-Sep-2026","01-Nov-2026","Md. Rakib Hasan","Senior Assistant Director","Address : Central Procurement Section, Rapid Action Battalion Forces Headquarters, Kurmitola, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1229 Country : Bangladesh","Central Procurement Section, Rapid Action Battalion Forces Headquarters, Kurmitola, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1229","02-7913104","","8000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1319484"
"Ministry of Agriculture","","Department of Agricultural Extension (DAE)","Improvement of Nutrition and Reduction of Poverty through Mushroom Cultivation","224368100","Dhaka","Works","NCT","TENDER","Tender - Single Lot","12.12.0000.012.07.001.23.346","215003","1316088","Open Tendering Method (OTM)","Development","Government","224368100","Improvement of Nutrition and Reduction of Poverty through Mushroom Cultivation","W/MUSHROOM/DAE-8/Lot-1/3 Construction of Workshop Cum Laboratory Building at 4 Mushroom Sub-Centers(Pabna,Tangail, Dinajpur, Natore) under INRPMC Project","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","27-Aug-2026 10:30","09-Sep-2026 17:00","1. The Tenderers must have minimum 10 (Ten) years of general experience of Construction works. 2. The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in construction works under public sector of at least 1(One) contract(s) of Construction including Civil, Internal Sanitary & Electrification works (which has been executed in minimum four (4) different locations simultaneously) successfully completed within the last 05 (five) years, with a value of at least Tk. 80.00 (Eighty) Lakh. Years counting backward from the date of publication of IFT in the newspaper. 3. The required average annual construction turnover under public sector shall be greater than Tk. 75.00 (Seventy Five) Lakh in the last 5 (Five) years financial years. Payment certificates for contract in progress or completed under public sector during last 5 (five) years must be submitted along with the tender in support of average annual construction turnover.Years counting backward from the date of publication of IFT in the newspaper. 4. The Tenderer must have a minimum liquid assets/ working capital/credit facilities (in the PW2a-3 form without any alteration) Tk. 90 (Ninety) Lakh. 5. The Tender Capacity is Tk. 75.00 (Seventy Five)  Lakh. Supporting document must be submitted along with information as per enclosed form (ongoing works/commitments) 6. The Tenderer must enclose VAT registration certificate, Up-to-date Income Tax clearance certificate, Up- to-date Trade license and Up-to-date ABC Contractor and Supervisory License. All other conditions as mentioned in TDS & PCC of e-tender document must be fulfilled.","Construction of Workshop Cum Laboratory Building at 4 Mushroom Sub-Centers(Pabna,Tangail, Dinajpur, Natore) under INRPMC Project","Lot wise","Package wise","Package wise","2500","Payment through Bank","06-Jan-2027","06-Jan-2027","1","Construction of Workshop Cum Laboratory Building at 4 Mushroom Sub-Centers(Pabna,Tangail, Dinajpur, Natore) under INRPMC Project","Horticulture Center Pabna,Tangail, Dinajpur, Natore","260000","01-Oct-2026","02-May-2027","Mst. Akhter Jahan Kakon","Project Director","Address : Room no. 506, Rear building, 4th floor, Department of Agricultural Extension (DAE), Khamarbari, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1215 Country : Bangladesh","Room no. 506, Rear building, 4th floor, Department of Agricultural Extension (DAE), Khamarbari, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1215","02-224445646","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1316088"
